name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,month,revenue
Super Mario Bros.,PG,Adventure,1993,4.1,50000,Annabel Jankel,Parker Bennett,Bob Hoskins,United Kingdom,48000000,20915465,Allied Filmmakers,May,-27084535
Sleepless in Seattle,PG,Comedy,1993,6.8,165000,Nora Ephron,Jeff Arch,Tom Hanks,United States,21000000,227927165,TriStar Pictures,June,206927165
Cliffhanger,R,Action,1993,6.4,122000,Renny Harlin,John Long,Sylvester Stallone,United States,70000000,255000211,Carolco Pictures,May,185000211
The Piano,R,Drama,1993,7.6,81000,Jane Campion,Jane Campion,Holly Hunter,New Zealand,7000000,40185556,CiBy 2000,February,33185556
The Nightmare Before Christmas,PG,Animation,1993,8,306000,Henry Selick,Tim Burton,Danny Elfman,United States,18000000,91491247,Touchstone Pictures,October,73491247
Rookie of the Year,PG,Comedy,1993,6.1,26000,Daniel Stern,Sam Harper,Thomas Ian Nicholas,United States,10000000,56500758,Twentieth Century Fox,July,46500758
"Blood In, Blood Out",R,Crime,1993,8,29000,Taylor Hackford,Ross Thomas,Damian Chapa,United States,35000000,4496583,Hollywood Pictures,April,-30503417
In the Name of the Father,R,Biography,1993,8.1,163000,Jim Sheridan,Gerry Conlon,Daniel Day-Lewis,Ireland,13000000,65796862,Hell's Kitchen Films,February,52796862
Alive,R,Biography,1993,7.1,53000,Frank Marshall,Piers Paul Read,Ethan Hawke,United States,32000000,36733909,Film Andes S.A.,January,4733909
Addams Family Values,PG-13,Comedy,1993,6.8,84000,Barry Sonnenfeld,Charles Addams,Anjelica Huston,United States,47000000,48919043,Paramount Pictures,November,1919043
Indecent Proposal,R,Drama,1993,6,66000,Adrian Lyne,Jack Engelhard,Robert Redford,United States,38000000,266614059,Paramount Pictures,April,228614059
In the Line of Fire,R,Action,1993,7.2,96000,Wolfgang Petersen,Jeff Maguire,Clint Eastwood,United States,40000000,176997168,Columbia Pictures,July,136997168
The Age of Innocence,PG,Drama,1993,7.2,56000,Martin Scorsese,Edith Wharton,Daniel Day-Lewis,United States,34000000,32255440,Columbia Pictures,October,-1744560
Menace II Society,R,Crime,1993,7.5,54000,Albert Hughes,Allen Hughes,Tyrin Turner,United States,3500000,27912072,New Line Cinema,May,24412072
Gettysburg,PG,Drama,1993,7.6,27000,Ron Maxwell,Michael Shaara,Tom Berenger,United States,25000000,10769960,TriStar Television,October,-14230040
The Three Musketeers,PG,Action,1993,6.4,52000,Stephen Herek,Alexandre Dumas,Charlie Sheen,Austria,30000000,53898845,Walt Disney Pictures,November,23898845
Homeward Bound: The Incredible Journey,G,Adventure,1993,6.9,43000,Duwayne Dunham,Sheila Burnford,Michael J. Fox,United States,NA,41833324,Touchwood Pacific Partners 1,February,NA
The Secret Garden,G,Drama,1993,7.3,38000,Agnieszka Holland,Frances Hodgson Burnett,Kate Maberly,United Kingdom,18000000,31181347,Warner Bros.,August,13181347
Free Willy,PG,Adventure,1993,6,71000,Simon Wincer,Keith Walker,Jason James Richter,United States,20000000,153698625,Warner Bros. Family Entertainment,July,133698625
RoboCop 3,PG-13,Action,1993,4.1,47000,Fred Dekker,Edward Neumeier,Robert John Burke,United States,22000000,10696210,Orion Pictures,November,-11303790
The Remains of the Day,PG,Drama,1993,7.8,69000,James Ivory,Kazuo Ishiguro,Anthony Hopkins,United States,15000000,23237911,Columbia Pictures,November,8237911
Hard Target,R,Action,1993,6.2,46000,John Woo,Chuck Pfarrer,Jean-Claude Van Damme,United States,18000000,74189677,Universal Pictures,August,56189677
Fire in the Sky,PG-13,Biography,1993,6.5,23000,Robert Lieberman,Travis Walton,D.B. Sweeney,United States,15000000,19885552,Paramount Pictures,March,4885552
Cool Runnings,PG,Adventure,1993,7,96000,Jon Turteltaub,Lynn Siefert,John Candy,United States,14000000,154856263,Walt Disney Pictures,October,140856263
Dave,PG-13,Comedy,1993,6.8,50000,Ivan Reitman,Gary Ross,Kevin Kline,United States,28000000,63270710,Warner Bros.,May,35270710
Kalifornia,R,Crime,1993,6.7,52000,Dominic Sena,Stephen Levy,Brad Pitt,United States,9000000,2395231,PolyGram Filmed Entertainment,September,-6604769
Benny & Joon,PG,Comedy,1993,7.2,56000,Jeremiah S. Chechik,Barry Berman,Johnny Depp,United States,NA,23261580,Metro-Goldwyn-Mayer (MGM),April,NA
Sliver,R,Drama,1993,5,30000,Phillip Noyce,Ira Levin,Sharon Stone,United States,40000000,116300000,Paramount Pictures,May,76300000
Rudy,PG,Biography,1993,7.5,59000,David Anspaugh,Angelo Pizzo,Sean Astin,United States,NA,22881563,TriStar Pictures,October,NA
Coneheads,PG,Comedy,1993,5.3,52000,Steve Barron,Tom Davis,Dan Aykroyd,United States,33000000,21274717,Paramount Pictures,July,-11725283
So I Married an Axe Murderer,PG-13,Comedy,1993,6.5,36000,Thomas Schlamme,Robbie Fox,Mike Myers,United States,20000000,11585483,TriStar Pictures,July,-8414517
Hot Shots! Part Deux,PG-13,Action,1993,6.6,86000,Jim Abrahams,Jim Abrahams,Charlie Sheen,United States,25000000,133752825,Twentieth Century Fox,May,108752825
Much Ado About Nothing,PG-13,Comedy,1993,7.3,46000,Kenneth Branagh,William Shakespeare,Kenneth Branagh,United Kingdom,11000000,22549338,Renaissance Films,July,11549338
The Crush,R,Drama,1993,5.8,17000,Alan Shapiro,Alan Shapiro,Cary Elwes,United States,6000000,13609396,Morgan Creek Entertainment,April,7609396
Loaded Weapon 1,PG-13,Action,1993,6.2,45000,Gene Quintano,Don Holley,Emilio Estevez,United States,13000000,27979399,New Line Cinema,February,14979399
This Boy's Life,R,Biography,1993,7.3,49000,Michael Caton-Jones,Tobias Wolff,Robert De Niro,United States,NA,4104962,Knickerbocker Films,April,NA
